Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
136,O Lavar Scott PR,462.9500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Lavar Scott Primary,,,,
137,O Patrick Staropoli PR,468.5375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Patrick Staropoli Primary,,,,
138,O Jeremy Clements PR,469.1875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Jeremy Clements Primary,,,,
139,O Daniel Dye PR,464.4000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Daniel Dye Primary,,,,
140,O David Starr PR,461.4750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series David Starr Primary,,,,
141,O Taylor Gray PR,464.7000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Taylor Gray Primary,,,,
142,O Joey Gase PR,467.7375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Joey Gase Primary,,,,
143,O Austin Green PR,465.7250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Austin Green Primary,,,,
144,O Rajah Caruth PR,466.3375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Rajah Caruth Primary,,,,
145,O Mason Maggio PR,463.0625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Mason Maggio Primary,,,,
146,O Josh Williams PR,463.3750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Josh Williams Primary,,,,
147,O Anthony Alfredo PR,453.0250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Anthony Alfredo Primary,,,,
148,O Parker Retzlaff PR,460.1000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Parker Retzlaff Primary,,,,
149,O Garrett Smithley BK,463.7875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Garrett Smithley Backup,,,,
150,O Sheldon Creed BK,452.8375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Sheldon Creed Backup,,,,
151,O Ryan Ellis BK,452.1875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Ryan Ellis Backup,,,,
152,O Josh Bilicki BK,467.7125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Josh Bilicki Backup,,,,
153,O Carson Kvapil BK,453.1875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Carson Kvapil Backup,,,,
154,O Jesse Love BK,464.4625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Jesse Love Backup,,,,
155,O Caesar Bacarella BK,451.0625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Caesar Bacarella Backup,,,,
156,O Luke Fenhaus BK,467.0750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Luke Fenhaus Backup,,,,
157,O Justin Allgaier BK,459.1625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Justin Allgaier Backup,,,,
158,O Sammy Smith BK,468.3125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Sammy Smith Backup,,,,
159,O Corey Day BK,458.8375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Corey Day Backup,,,,
160,O William Sawalich BK,451.8500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series William Sawalich Backup,,,,
161,O Giovanni Ruggiero BK,451.3000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Giovanni Ruggiero Backup,,,,
162,O Brandon Jones BK,464.0875,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Brandon Jones Backup,,,,
163,O Austin Hill BK,457.4625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Austin Hill Backup,,,,
164,O Harrison Burton BK,465.4625,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5W,OReilly Series Harrison Burton Backup,,,,
